datetime,energy,gh,csky_ghi,tdry,wspd,pres_hpa,rhum,snowd_m,rainfall
2021-01-01,471.984,413.89,1088.19,12.5,24.57,23255.3,2258,17.5,2.5
2021-01-02,390.325,416.19,1098.34,33.8,19.0,23740.3,2101,0.0,0.0
2021-01-03,84.912,459.753996,1109.45,14.7,55.5,23447.5,2154,15.5,4.0
2021-01-04,49.318000000000005,435.939975,1121.49,-0.4,43.2,23475.9,2284,0.0,0.0
2021-01-05,400.894,424.15,1134.48,12.6,58.1,23507.4,2278,0.0,0.0
2021-01-06,281.90500000000003,453.71031999999997,1148.38,12.1,73.2,23468.9,2251,0.0,0.0
2021-01-07,72.302,484.88599,1163.25,5.2,60.4,23412.3,2132,0.0,0.0
2021-01-08,230.943,433.51,1179.06,-0.30000000000000004,66.0,23447.3,2246,14.0,2.0
2021-01-09,288.026,486.53568,1195.79,-11.7,44.2,23624.6,2199,0.0,0.0
2021-01-10,122.785,502.091451,1213.47,4.6,39.4,23687.2,2119,0.0,0.0
2021-01-11,7.52,508.36215,1232.09,3.4000000000000004,85.8,23598.5,1911,0.0,0.0
2021-01-12,275.982,481.512635,1251.61,41.0,135.8,23386.4,2182,6.5,8.0
2021-01-13,153.945,521.66798,1272.08,38.8,149.8,23392.2,1936,4.0,2.0
2021-01-14,377.008,515.4577850000001,1293.47,-2.6,70.1,23513.1,2093,0.0,0.0
2021-01-15,316.58,498.30144,1315.77,-19.7,65.7,23683.4,2194,0.0,0.0
2021-01-16,17.81,464.33,1338.99,-31.1,63.3,23690.1,1856,0.0,0.0
2021-01-17,412.853,551.269914,1363.1200000000001,-36.7,61.4,23589.100000000002,2134,7.0,1.0
2021-01-18,351.91,532.05223,1388.13,52.5,87.7,23605.4,2084,3.5,0.5
2021-01-19,458.725,477.65,1414.04,76.2,164.9,23410.3,2061,0.0,6.5
2021-01-20,467.951,1191.514494,1440.84,149.8,127.0,23230.5,1597,0.0,0.0
2021-01-21,107.518,1008.007708,1468.54,170.0,169.0,23091.6,1697,0.0,4.0
2021-01-22,126.411,903.053285,1497.07,80.4,68.8,23035.7,2051,0.0,4.0
2021-01-23,68.745,831.612879,1526.48,43.0,62.8,23066.5,2152,0.0,0.0
2021-01-24,228.4,522.11324,1556.73,11.8,99.2,23070.7,2231,26.5,4.5
2021-01-25,369.365,1264.6666500000001,1587.82,-32.6,56.6,23210.1,2199,0.0,0.0
2021-01-26,69.398,517.4736800000001,1619.72,12.9,114.6,23436.6,2070,42.5,6.5
2021-01-27,127.713,711.067506,1652.46,13.3,83.1,23450.9,2106,10.0,2.5
2021-01-28,488.67,622.17181,1686.17,14.2,48.9,23263.8,2320,48.5,9.5
2021-01-29,342.751,609.432751,1721.07,85.0,79.0,23098.8,2280,1.0,14.0
